Order_ID,Order_Date,Customer_ID,Product,Region,Quantity,Unit_Price,Discount,Category,Sales,Profit
1001,2025-01-01,10052.0,Monitor,West,1,75.0,0.15,Electronics,63.75,12.75
1002,2025-01-02,10093.0,Mouse,West,3,800.0,0.2,Accessories,1920.0,384.0
1003,2025-01-03,10015.0,Tablet,West,6,25.0,0.15,Electronics,127.5,25.5
1004,2025-01-04,10072.0,Keyboard,North,8,25.0,0.1,Accessories,180.0,36.0
1005,2025-01-05,10061.0,Headphones,South,9,100.0,0.2,Accessories,720.0,144.0
1006,2025-01-06,10021.0,Webcam,South,7,25.0,0.15,Accessories,148.75,29.75
1007,2025-01-07,10083.0,Laptop,North,4,300.0,0.1,Electronics,1080.0,216.0
1008,2025-01-08,10087.0,Headphones,South,6,800.0,0.05,Accessories,4560.0,912.0
1009,2025-01-09,10075.0,Webcam,North,5,500.0,0.15,Accessories,2125.0,425.0
1010,2025-01-10,10075.0,Monitor,South,8,800.0,0.05,Electronics,6080.0,1216.0
1011,2025-01-11,10088.0,Headphones,Unknown,1,300.0,0.05,Accessories,285.0,57.0
1012,2025-01-12,10100.0,Printer,East,1,300.0,0.0,Electronics,300.0,60.0
1013,2025-01-13,10024.0,Laptop,West,6,100.0,0.2,Electronics,480.0,96.0
1014,2025-01-14,10003.0,Webcam,East,2,100.0,0.15,Accessories,170.0,34.0
1015,2025-01-15,10022.0,Webcam,East,5,25.0,0.05,Accessories,118.75,23.75
1016,2025-01-16,10053.0,Webcam,East,1,50.0,0.0,Accessories,50.0,10.0
1017,2025-01-17,10002.0,Monitor,North,7,800.0,0.1,Electronics,5040.0,1008.0
1018,2025-01-18,10088.0,Headphones,East,1,800.0,0.15,Accessories,680.0,136.0
1019,2025-01-19,10030.0,Monitor,East,4,50.0,0.05,Electronics,190.0,38.0
1020,2025-01-20,10038.0,Tablet,West,9,100.0,0.2,Electronics,720.0,144.0
1021,2025-01-21,10002.0,Mouse,East,1,25.0,0.0,Accessories,25.0,5.0
1022,2025-01-22,10064.0,Mouse,East,4,50.0,0.05,Accessories,190.0,38.0
1023,2025-01-23,10060.0,Tablet,South,6,25.0,0.2,Electronics,120.0,24.0
1024,2025-01-24,10021.0,Headphones,West,6,25.0,0.05,Accessories,142.5,28.5
1025,2025-01-25,10033.0,Printer,West,8,25.0,0.15,Electronics,170.0,34.0
1026,2025-01-26,10076.0,Monitor,West,1,100.0,0.15,Electronics,85.0,17.0
1027,2025-01-27,10058.0,Laptop,West,7,300.0,0.15,Electronics,1785.0,357.0
1028,2025-01-28,10022.0,Webcam,West,1,25.0,0.0,Accessories,25.0,5.0
1029,2025-01-29,10089.0,Webcam,West,7,200.0,0.15,Accessories,1190.0,238.0
1030,2025-01-30,10049.0,Headphones,North,3,100.0,0.2,Accessories,240.0,48.0
1031,2025-01-31,10091.0,Printer,East,8,50.0,0.05,Electronics,380.0,76.0
1032,2025-02-01,10059.0,Mouse,West,3,300.0,0.1,Accessories,810.0,162.0
1033,2025-02-02,10042.0,Mouse,East,1,500.0,0.2,Accessories,400.0,80.0
1034,2025-02-03,10092.0,Webcam,East,8,50.0,0.2,Accessories,320.0,64.0
1035,2025-02-04,10060.0,Headphones,North,3,300.0,0.15,Accessories,765.0,153.0
1036,2025-02-05,10080.0,Monitor,West,2,500.0,0.0,Electronics,1000.0,200.0
1037,2025-02-06,10015.0,Mouse,South,1,50.0,0.05,Accessories,47.5,9.5
1038,2025-02-07,10062.0,Monitor,North,3,300.0,0.0,Electronics,900.0,180.0
1039,2025-02-08,10062.0,Printer,South,2,50.0,0.05,Electronics,95.0,19.0
1040,2025-02-09,10047.0,Mouse,East,2,50.0,0.05,Accessories,95.0,19.0
1041,2025-02-10,Unknown,Mouse,East,6,500.0,0.0,Accessories,3000.0,600.0
1042,2025-02-11,10051.0,Keyboard,North,1,50.0,0.2,Accessories,40.0,8.0
1043,2025-02-12,10055.0,Mouse,North,2,50.0,0.05,Accessories,95.0,19.0
1044,2025-02-13,10064.0,Tablet,South,6,500.0,0.0,Electronics,3000.0,600.0
1045,2025-02-14,10003.0,Laptop,West,3,100.0,0.05,Electronics,285.0,57.0
1046,2025-02-15,10051.0,Tablet,South,4,25.0,0.1,Electronics,90.0,18.0
1047,2025-02-16,10007.0,Headphones,North,1,800.0,0.2,Accessories,640.0,128.0
1048,2025-02-17,10021.0,Headphones,South,8,75.0,0.15,Accessories,510.0,102.0
1049,2025-02-18,10073.0,Monitor,North,7,200.0,0.05,Electronics,1330.0,266.0
1050,2025-02-19,10039.0,Tablet,South,7,75.0,0.1,Electronics,472.5,94.5
1051,2025-02-20,10018.0,Tablet,North,3,75.0,0.15,Electronics,191.25,38.25
1052,2025-02-21,10004.0,Tablet,North,3,300.0,0.15,Electronics,765.0,153.0
1053,2025-02-22,10089.0,Printer,North,2,25.0,0.05,Electronics,47.5,9.5
1054,2025-02-23,10060.0,Mouse,West,1,300.0,0.0,Accessories,300.0,60.0
1055,2025-02-24,10014.0,Laptop,South,7,25.0,0.05,Electronics,166.25,33.25
1056,2025-02-25,10009.0,Monitor,South,7,500.0,0.1,Electronics,3150.0,630.0
1057,2025-02-26,10090.0,Tablet,South,2,500.0,0.15,Electronics,850.0,170.0
1058,2025-02-27,10053.0,Tablet,North,7,800.0,0.05,Electronics,5320.0,1064.0
1059,2025-02-28,10002.0,Keyboard,South,8,25.0,0.0,Accessories,200.0,40.0
1060,2025-03-01,10084.0,Monitor,South,1,50.0,0.05,Electronics,47.5,9.5
1061,2025-03-02,10092.0,Tablet,North,9,100.0,0.2,Electronics,720.0,144.0
1062,2025-03-03,10060.0,Monitor,East,7,800.0,0.0,Electronics,5600.0,1120.0
1063,2025-03-04,10071.0,Mouse,North,3,800.0,0.1,Accessories,2160.0,432.0
1064,2025-03-05,10044.0,Keyboard,South,8,50.0,0.15,Accessories,340.0,68.0
1065,2025-03-06,10008.0,Monitor,North,7,100.0,0.05,Electronics,665.0,133.0
1066,2025-03-07,10047.0,Laptop,East,8,300.0,0.0,Electronics,2400.0,480.0
1067,2025-03-08,10035.0,Laptop,North,6,100.0,0.2,Electronics,480.0,96.0
1068,2025-03-09,10078.0,Headphones,South,9,300.0,0.0,Accessories,2700.0,540.0
