Order_ID,Order_Date,Customer_ID,Product,Region,Quantity,Unit_Price,Discount,Category,Sales,Profit
1001,2025-01-01,10052.0,Monitor,West,1,75.0,0.15,Electronics,63.75,16.501015973782824
1002,2025-01-02,10093.0,Mouse,West,3,800.0,0.2,Accessories,1920.0,227.70840569208275
1003,2025-01-03,10015.0,Tablet,West,6,25.0,0.15,Electronics,127.5,27.749157807183956
1004,2025-01-04,10072.0,Keyboard,North,8,25.0,0.1,Accessories,180.0,35.31502403590045
1005,2025-01-05,10061.0,Headphones,South,9,100.0,0.2,Accessories,720.0,164.49487573035276
1006,2025-01-06,10021.0,Webcam,South,7,25.0,0.15,Accessories,148.75,16.804394435868307
1007,2025-01-07,10083.0,Laptop,North,4,300.0,0.1,Electronics,1080.0,233.27649808447634
1008,2025-01-08,10087.0,Headphones,South,6,800.0,0.05,Accessories,4560.0,968.0739442190855
1009,2025-01-09,10075.0,Webcam,North,5,500.0,0.15,Accessories,2125.0,450.78054012687267
1010,2025-01-10,10075.0,Monitor,South,8,800.0,0.05,Electronics,6080.0,1341.841002581289
1011,2025-01-11,10088.0,Headphones,,1,300.0,0.05,Accessories,285.0,67.05867242190264
1012,2025-01-12,10100.0,Printer,East,1,300.0,0.0,Electronics,300.0,78.29933998084617
1013,2025-01-13,10024.0,Laptop,West,6,100.0,0.2,Electronics,480.0,73.90278913230858
1014,2025-01-14,10003.0,Webcam,East,2,100.0,0.15,Accessories,170.0,45.05167994612211
1015,2025-01-15,10022.0,Webcam,East,5,25.0,0.05,Accessories,118.75,23.708572453757025
1016,2025-01-16,10053.0,Webcam,East,1,50.0,0.0,Accessories,50.0,5.770582791343312
1017,2025-01-17,10002.0,Monitor,North,7,800.0,0.1,Electronics,5040.0,563.019336677931
1018,2025-01-18,10088.0,Headphones,East,1,800.0,0.15,Accessories,680.0,113.45641134266428
1019,2025-01-19,10030.0,Monitor,East,4,50.0,0.05,Electronics,190.0,48.82608513023577
1020,2025-01-20,10038.0,Tablet,West,9,100.0,0.2,Electronics,720.0,173.90605460269188
1021,2025-01-21,10002.0,Mouse,East,1,25.0,0.0,Accessories,25.0,6.443074823362033
1022,2025-01-22,10064.0,Mouse,East,4,50.0,0.05,Accessories,190.0,38.65622414478115
1023,2025-01-23,10060.0,Tablet,South,6,25.0,0.2,Electronics,120.0,22.564775950931775
1024,2025-01-24,10021.0,Headphones,West,6,25.0,0.05,Accessories,142.5,18.45239701112909
1025,2025-01-25,10033.0,Printer,West,8,25.0,0.15,Electronics,170.0,28.158553622716592
1026,2025-01-26,10076.0,Monitor,West,1,,0.15,Electronics,170.0,31.756658449911757
1027,2025-01-27,10058.0,Laptop,West,7,300.0,0.15,Electronics,1785.0,210.13035339562336
1028,2025-01-28,10022.0,Webcam,West,1,25.0,0.0,Accessories,25.0,3.603059763556056
1029,2025-01-29,10089.0,Webcam,West,7,200.0,0.15,Accessories,1190.0,261.37761998716985
1030,2025-01-30,10049.0,Headphones,North,3,100.0,0.2,Accessories,240.0,59.31182948348111
1031,2025-01-31,10091.0,Printer,East,8,50.0,0.05,Electronics,380.0,113.87441086586416
1032,2025-02-01,10059.0,Mouse,West,3,300.0,0.1,Accessories,810.0,232.16435967765634
1033,2025-02-02,10042.0,Mouse,East,1,500.0,0.2,Accessories,400.0,91.40521596281532
1034,2025-02-03,10092.0,Webcam,East,8,50.0,0.2,Accessories,320.0,58.95987541082061
1035,2025-02-04,10060.0,Headphones,North,3,300.0,0.15,Accessories,765.0,173.8351368003596
1036,2025-02-05,10080.0,Monitor,West,2,500.0,0.0,Electronics,1000.0,257.1303236160464
1037,2025-02-06,10015.0,Mouse,South,1,50.0,0.05,Accessories,47.5,5.874193813772179
1038,2025-02-07,10062.0,Monitor,North,3,300.0,0.0,Electronics,900.0,163.7828801453319
1039,2025-02-08,10062.0,Printer,South,2,50.0,0.05,Electronics,95.0,25.45624342707673
1040,2025-02-09,10047.0,Mouse,East,2,50.0,0.05,Accessories,95.0,16.792826086727835
1041,2025-02-10,,Mouse,East,6,500.0,0.0,Accessories,3000.0,643.123362736312
1042,2025-02-11,10051.0,Keyboard,North,1,50.0,0.2,Accessories,40.0,8.702154886897587
1043,2025-02-12,10055.0,Mouse,North,2,50.0,0.05,Accessories,95.0,13.005048809539147
1044,2025-02-13,10064.0,Tablet,South,6,500.0,0.0,Electronics,3000.0,517.341264991373
1045,2025-02-14,10003.0,Laptop,West,3,100.0,0.05,Electronics,285.0,47.56714345829013
